[表題行],部門,勘定科目,補助科目,日付,伝票No.,作業日付,仕訳番号,決算,調整,付箋１,付箋２,タイプ,生成元,部門,税区分,税計算区分,相手勘定科目,相手補助科目,相手部門,相手税区分,相手税計算区分,借方金額,借方税額,貸方金額,貸方税額,金額,残高,摘要,請求書区分,仕入税額控除,期日,番号,仕訳メモ
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897466,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,20710643,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897467,,NO,,,[振伝],,,,,諸口,,,,,,,17958,,-17958,20692685,牧浦匠孝　動画撮影業務　11月　齊藤先生,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897470,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,20692410,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897471,,NO,,,[振伝],,,,,諸口,,,,,,,71832,,-71832,20620578,李彩玲　ﾏｰｹﾃｨﾝｸﾞ業務等　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897474,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,20620138,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897475,,NO,,,[振伝],,,,,諸口,,,,,,,1949664,,-1949664,18670474,(同)ﾌﾟﾛﾗﾘｰ 老皇平　ﾏｰｹﾃｨﾝｸﾞ業務　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897478,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,18670034,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897479,,NO,,,[振伝],,,,,諸口,,,,,,,301964,,-301964,18368070,並木優佳　WEB制作・立替交通費　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897484,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,18367630,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897485,,NO,,,[振伝],,,,,諸口,,,,,,,13132,,-13132,18354498,坂田朱里　WEB制作業務･立替交通費　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897488,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,18354223,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897489,,NO,,,[振伝],,,,,諸口,,,,,,,44895,,-44895,18309328,福本明里　WEB制作業務･立替交通費　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897492,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,18308888,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897493,,NO,,,[振伝],,,,,諸口,,,,,,,294060,,-294060,18014828,榎本健志朗　WEB制作業務･立替交通費　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897503,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,18014388,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897504,,NO,,,[振伝],,,,,諸口,,,,,,,150542,,-150542,17863846,藤井信行　WEB制作業務　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897507,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,17863406,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897508,,NO,,,[振伝],,,,,諸口,,,,,,,17475,,-17475,17845931,徳淵憂樹　WEB制作業務　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897516,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,17845656,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897517,,NO,,,[振伝],,,,,諸口,,,,,,,89790,,-89790,17755866,冨永明子　ﾏｰｹﾃｨﾝｸﾞ業務等　11月,,,,,
